timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1560097787458,1510,login GET,200,OK,registration-login-actions-logout 1-1,text,true,,54935,904,2,2,http://127.0.0.1:8080/login,1509,0,0
1560097787380,1659,register POST - 4  - 2,200,OK,registration-login-actions-logout 1-2,text,true,,56879,2104,2,2,http://127.0.0.1:8080/verification/send,1510,0,0
1560097787380,1511,register POST - 4  - 2-0,302,Found,registration-login-actions-logout 1-2,text,true,,1373,1127,2,2,http://127.0.0.1:8080/register,1510,0,0
1560097788892,147,register POST - 4  - 2-1,200,OK,registration-login-actions-logout 1-2,text,true,,55506,977,2,2,http://127.0.0.1:8080/verification/send,146,0,0
1560097789040,207,verification send,200,OK,registration-login-actions-logout 1-2,text,true,,54669,924,2,2,http://127.0.0.1:8080/verification/send,206,0,0
1560097789247,5,JDBC Request - 4 - 2,200,OK,registration-login-actions-logout 1-2,text,true,,9,0,2,2,null,5,0,0
1560097788969,364,login POST - 3 - 1,200,OK,registration-login-actions-logout 1-1,text,true,,90961,2464,2,2,http://127.0.0.1:8080/login/success,204,0,0
1560097788969,205,login POST - 3 - 1-0,302,Found,registration-login-actions-logout 1-1,text,true,,1889,1100,2,2,http://127.0.0.1:8080/login,204,0,0
1560097789174,159,login POST - 3 - 1-1,200,OK,registration-login-actions-logout 1-1,text,true,,89072,1364,2,2,http://127.0.0.1:8080/login/success,158,0,1
1560097789252,170,login GET,200,OK,registration-login-actions-logout 1-2,text,true,,54953,906,2,2,http://127.0.0.1:8080/login,169,0,1
1560097789335,184,login success - 3 - 1,200,OK,registration-login-actions-logout 1-1,text,true,,89076,1371,2,2,http://127.0.0.1:8080/login/success,183,0,0
1560097789520,255,home,200,OK,registration-login-actions-logout 1-1,text,true,,199015,1362,2,2,http://127.0.0.1:8080/,254,0,0
1560097789424,444,login POST - 4 - 2,200,OK,registration-login-actions-logout 1-2,text,true,,90969,2472,2,2,http://127.0.0.1:8080/login/success,240,0,0
1560097789424,241,login POST - 4 - 2-0,302,Found,registration-login-actions-logout 1-2,text,true,,1895,1102,2,2,http://127.0.0.1:8080/login,240,0,0
1560097789666,202,login POST - 4 - 2-1,200,OK,registration-login-actions-logout 1-2,text,true,,89074,1370,2,2,http://127.0.0.1:8080/login/success,201,0,0
1560097789870,183,login success - 4 - 2,200,OK,registration-login-actions-logout 1-2,text,true,,89068,1367,2,2,http://127.0.0.1:8080/login/success,183,0,1
1560097789775,369,logout - 3 - 1,200,OK,registration-login-actions-logout 1-1,text,true,,128830,2642,2,2,http://127.0.0.1:8080,179,0,1
1560097789775,180,logout - 3 - 1-0,302,Found,registration-login-actions-logout 1-1,text,true,,1553,1487,2,2,http://127.0.0.1:8080/logout,179,0,1
1560097789955,189,logout - 3 - 1-1,200,OK,registration-login-actions-logout 1-1,text,true,,127277,1155,2,2,http://127.0.0.1:8080,188,0,0
1560097790144,1,Debug Sampler,200,OK,registration-login-actions-logout 1-1,text,true,,1139,0,2,2,null,0,0,0
1560097790055,191,home,200,OK,registration-login-actions-logout 1-2,text,true,,199022,1364,1,1,http://127.0.0.1:8080/,191,0,0
1560097790247,169,logout - 4 - 2,200,OK,registration-login-actions-logout 1-2,text,true,,128862,2648,1,1,http://127.0.0.1:8080,84,0,0
1560097790247,84,logout - 4 - 2-0,302,Found,registration-login-actions-logout 1-2,text,true,,1561,1485,1,1,http://127.0.0.1:8080/logout,84,0,0
1560097790332,84,logout - 4 - 2-1,200,OK,registration-login-actions-logout 1-2,text,true,,127301,1163,1,1,http://127.0.0.1:8080,83,0,0
1560097790416,0,Debug Sampler,200,OK,registration-login-actions-logout 1-2,text,true,,1139,0,1,1,null,0,0,0
